id,source,target,predicate,evidence_class,source_url,evidence_note
rel-001,genetic-programming,symbolic-regression,ENABLES,documented mechanism,https://doi.org/10.1126/science.1165893,"Symbolic regression searches structured expressions, inheriting program-search ideas from evolutionary computation."
rel-002,symbolic-regression,ai-for-physics,ENABLES,documented,https://doi.org/10.1126/science.1165893,"Equation discovery supplies interpretable candidate laws for physical systems."
rel-003,neural-operators,ai-for-physics,APPLIES,documented,https://arxiv.org/abs/2010.08895,"Fourier Neural Operator applies learned function-space mappings to parameterized PDE problems."
rel-004,ai-for-physics,hybrid-equation-aware-world-model,MOTIVATES,inferred project synthesis,https://arxiv.org/abs/2010.08895,"The leading candidate asks whether a symbolic residual correction improves regime-shift transfer beyond data-only and constrained operators."
rel-005,world-models,intervention-aware-evaluation,MOTIVATES,documented problem synthesis,https://arxiv.org/abs/1803.10122,"Latent predictive control creates the need to test action consequences, not only observation prediction."
rel-006,intervention-aware-evaluation,world-models,EVALUATES,proposed experiment,https://deepmind.google/blog/genie-3-a-new-frontier-for-world-models/,"Held-out actions, changed dynamics, and long horizons test limits that visual consistency alone cannot establish."
rel-008,stop,bounded-rsi,EXTENDS,documented scope,https://arxiv.org/abs/2310.02304,"STOP demonstrates recursive improvement of a scaffold while explicitly not modifying the base language model."
rel-009,alphaevolve,bounded-rsi,EXTENDS,documented claim,https://arxiv.org/abs/2506.13131,"AlphaEvolve combines generated programs, automated evaluators, and evolutionary retention."
rel-010,darwin-godel-machine,bounded-rsi,EXTENDS,documented claim,https://arxiv.org/abs/2505.22954,"DGM modifies its coding-agent codebase and retains empirically successful descendants."
rel-011,v-jepa-2,world-models,EXTENDS,documented claim,https://ai.meta.com/research/publications/v-jepa-2-self-supervised-video-models-enable-understanding-prediction-and-planning/,"V-JEPA 2 adds action-conditioned latent planning to predictive video representations."
rel-012,bounded-rsi,intervention-aware-evaluation,MOTIVATES,inferred caution,https://arxiv.org/abs/2505.22954,"Self-improvement claims motivate hidden-regression and evaluator-tampering tests beyond visible benchmark scores."
